project_id,wbs_code,wbs_name,total_activities,bl_project_duration,remaining_duration,total_float,bl_project_start,bl_project_finish,actual_start,actual_finish,schedule_%_complete,performance_%_complete,budget_at_completion,earned_value_cost,planned_value_cost
The Big -P.01-UP-20-April-26,No Priority,,1363,577,473,0,11-Sep-25,10-Apr-27,11-Sep-25,,0.6916,0.3105,367286025,114050908.4,254009356.2
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),1363,577,473,0,11-Sep-25,10-Apr-27,11-Sep-25,,0.6916,0.3105,367286025,114050908.4,254009356.2
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.KD,Key Dates,8,577,344,-144,11-Sep-25,10-Apr-27,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.KD.MI,Milestone,5,577,344,-144,11-Sep-25,10-Apr-27,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.KD.MO,Mobilization,0,15,0,,11-Sep-25,28-Sep-25,13-Sep-25,29-Sep-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN,Engineering,387,270,40,247,11-Sep-25,7-Jun-26,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.1,Design Reviewing,1,60,0,,11-Sep-25,9-Nov-25,11-Sep-25,9-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2,Shop Drawing,386,219,31,205,11-Sep-25,7-Jun-26,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S,Submittal,193,209,21,205,11-Sep-25,21-May-26,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02,Part 02,94,179,21,205,11-Sep-25,16-Apr-26,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01,B01,56,179,21,205,11-Sep-25,16-Apr-26,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUB,Substructre,17,172,0,,11-Sep-25,7-Apr-26,11-Sep-25,31-Mar-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUB.1,Replacement,1,18,0,,11-Sep-25,1-Oct-25,11-Sep-25,13-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUB.F,Footing,4,27,0,,1-Oct-25,2-Nov-25,16-Sep-25,30-Oct-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUB.2ndB,Basement 2,7,122,0,,10-Nov-25,7-Apr-26,10-Nov-25,8-Mar-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUB.2ndB.SOG,S.O.G,2,21,0,,10-Mar-26,7-Apr-26,12-Feb-26,8-Mar-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUB.1stB,Basement 1,5,30,0,,17-Nov-25,21-Dec-25,22-Oct-25,31-Mar-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP,Superstructure,39,120,21,205,20-Nov-25,16-Apr-26,26-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.GF,Ground Floor,4,27,21,-60,20-Nov-25,21-Dec-25,26-Oct-25,,0,0,0,0,0
